URL	A	B	C	D	E	F	links
gordonllp.com	https://www.gordonllp.com/	https://www.gordonllp.com/lawyers/	https://www.gordonllp.com/contact-us/				[ "gordonllp.com", "https://www.gordonllp.com/", "https://www.gordonllp.com/lawyers/", "https://www.gordonllp.com/contact-us/" ]
conepllc.com	https://conepllc.com/	https://conepllc.com/contact-us/	https://conepllc.com/about-us/				[ "conepllc.com", "https://conepllc.com/", "https://conepllc.com/contact-us/", "https://conepllc.com/about-us/" ]
arnlaw.com	https://www.arnlaw.com/	https://www.arnlaw.com/attorneys/	https://www.arnlaw.com/contact/	https://www.arnlaw.com/client-testimonials/	https://www.arnlaw.com/about/		[ "arnlaw.com", "https://www.arnlaw.com/", "https://www.arnlaw.com/attorneys/", "https://www.arnlaw.com/contact/", "https://www.arnlaw.com/client-testimonials/", "https://www.arnlaw.com/about/" ]
bwlawonline.com	https://bwlawonline.com/	https://bwlawonline.com/about-our-firm/	https://bwlawonline.com/contact-us/	https://bwlawonline.com/our-team/	https://bwlawonline.com/testimonials/		[ "bwlawonline.com", "https://bwlawonline.com/", "https://bwlawonline.com/about-our-firm/", "https://bwlawonline.com/contact-us/", "https://bwlawonline.com/our-team/", "https://bwlawonline.com/testimonials/" ]
hamiltonclarkellp.com	https://www.hamiltonclarkellp.com/	https://www.hamiltonclarkellp.com/testimonials/	https://www.hamiltonclarkellp.com/our-team/	https://www.hamiltonclarkellp.com/about-us/	https://www.hamiltonclarkellp.com/contact-us/		[ "hamiltonclarkellp.com", "https://www.hamiltonclarkellp.com/", "https://www.hamiltonclarkellp.com/testimonials/", "https://www.hamiltonclarkellp.com/our-team/", "https://www.hamiltonclarkellp.com/about-us/", "https://www.hamiltonclarkellp.com/contact-us/" ]
goldmanharris.com	https://www.goldmanharris.com/our-team	https://www.goldmanharris.com/contact-us	https://www.goldmanharris.com				[ "goldmanharris.com", "https://www.goldmanharris.com/our-team", "https://www.goldmanharris.com/contact-us", "https://www.goldmanharris.com" ]
hmslawgroup.com	https://www.hmslawgroup.com/home	https://www.hmslawgroup.com/contact-us	https://www.hmslawgroup.com/attorneys	https://www.hmslawgroup.com/about			[ "hmslawgroup.com", "https://www.hmslawgroup.com/home", "https://www.hmslawgroup.com/contact-us", "https://www.hmslawgroup.com/attorneys", "https://www.hmslawgroup.com/about" ]
brimahlaw.com	https://www.brimahlaw.com/about-us/	https://www.brimahlaw.com/					[ "brimahlaw.com", "https://www.brimahlaw.com/about-us/", "https://www.brimahlaw.com/" ]
goldenholleyjames.com	https://www.goldenholleyjames.com/attorneys/	https://www.goldenholleyjames.com/our-work/	https://www.goldenholleyjames.com				[ "goldenholleyjames.com", "https://www.goldenholleyjames.com/attorneys/", "https://www.goldenholleyjames.com/our-work/", "https://www.goldenholleyjames.com" ]
omnilawgroup.com	https://www.omnilawgroup.com/	https://www.omnilawgroup.com/your_firm/contact.php	https://www.omnilawgroup.com/your_firm/	https://www.omnilawgroup.com/your_firm/clients.php			[ "omnilawgroup.com", "https://www.omnilawgroup.com/", "https://www.omnilawgroup.com/your_firm/contact.php", "https://www.omnilawgroup.com/your_firm/", "https://www.omnilawgroup.com/your_firm/clients.php" ]
meza.law	https://www.meza.law/contact-meza	https://www.meza.law/ricardo-meza-1	https://www.meza.law/david-herrera	https://www.meza.law			[ "meza.law", "https://www.meza.law/contact-meza", "https://www.meza.law/ricardo-meza-1", "https://www.meza.law/david-herrera", "https://www.meza.law" ]
axell.law	https://axell.law/services/	https://axell.law/contact/	https://axell.law				[ "axell.law", "https://axell.law/services/", "https://axell.law/contact/", "https://axell.law" ]
getgary.com	https://getgary.com/	https://getgary.com/about/	https://getgary.com/contact-us/				[ "getgary.com", "https://getgary.com/", "https://getgary.com/about/", "https://getgary.com/contact-us/" ]
glgesq.com	https://glgesq.com/who-we-are/	https://glgesq.com/practice-areas/	https://glgesq.com				[ "glgesq.com", "https://glgesq.com/who-we-are/", "https://glgesq.com/practice-areas/", "https://glgesq.com" ]
calvertlawpllc.com	https://www.calvertlawpllc.com/	https://www.calvertlawpllc.com/contact/					[ "calvertlawpllc.com", "https://www.calvertlawpllc.com/", "https://www.calvertlawpllc.com/contact/" ]
knappinjurylaw.com	https://www.knappinjurylaw.com/home	https://knappinjurylaw.com/contact/					[ "knappinjurylaw.com", "https://www.knappinjurylaw.com/home", "https://knappinjurylaw.com/contact/" ]
tejlawfirm.com	https://tejlawfirm.com/	https://tejlawfirm.com/?page_id=11					[ "tejlawfirm.com", "https://tejlawfirm.com/", "https://tejlawfirm.com/?page_id=11" ]
zarrenlawgroup.com	https://www.zarrenlawgroup.com/about-us	https://www.zarrenlawgroup.com/contact-us	https://www.zarrenlawgroup.com				[ "zarrenlawgroup.com", "https://www.zarrenlawgroup.com/about-us", "https://www.zarrenlawgroup.com/contact-us", "https://www.zarrenlawgroup.com" ]
sorokalegal.com	https://www.sorokalegal.com/	https://www.sorokalegal.com/attorney/	https://www.sorokalegal.com/contact-us/	https://www.sorokalegal.com/results/			[ "sorokalegal.com", "https://www.sorokalegal.com/", "https://www.sorokalegal.com/attorney/", "https://www.sorokalegal.com/contact-us/", "https://www.sorokalegal.com/results/" ]
